"MSA","Counties","Wage Index","GAF"
"7640","Sherman-Denison, TX Grayson, TX","0.9619","0.9737"
"7680","Shreveport-Bossier City, LA Bossier, LA Caddo, LA Webster, LA","0.9108","0.9380"
"7720","Sioux City, IA-NE Woodbury, IA Dakota, NE","0.9079","0.9360"
"7760","Sioux Falls, SD Lincoln, SD Minnehaha, SD","0.9414","0.9595"
"7800","South Bend, IN St. Joseph, IN","0.9434","0.9609"
"7840","Spokane, WA Spokane, WA","1.0643","1.0436"
"7880","Springfield, IL Menard, IL Sangamon, IL","0.8732","0.9113"
"7920","Springfield, MO Christian, MO Greene, MO Webster, MO","0.8600","0.9019"
"8003","2 Springfield, MA Hampden, MA Hampshire, MA","1.0196","1.0134"
"8050","State College, PA Centre, PA","0.8465","0.8922"
"8080","2 Steubenville-Weirton, OH-WV (OH Hospitals) Jefferson, OH Brooke, WV Hancock, WV","0.8759","0.9133"
"8080","Steubenville-Weirton, OH-WV (WV Hospitals) Jefferson, OH Brooke, WV Hancock, WV","0.8274","0.8783"
"8120","Stockton-Lodi, CA San Joaquin, CA","1.0583","1.0396"
"8140","2 Sumter, SC Sumter, SC","0.8662","0.9063"
"8160","Syracuse, NY Cayuga, NY Madison, NY Onondaga, NY Oswego, NY","0.9411","0.9593"
"8200","Tacoma, WA Pierce, WA","1.1074","1.0724"
"8240","2 Tallahassee, FL Gadsden, FL Leon, FL","0.8707","0.9095"
"8280","1 Tampa-St. Petersburg-Clearwater, FL Hernando, FL Hillsborough, FL Pasco, FL Pinellas, FL","0.9074","0.9356"
"8320","2 Terre Haute, IN Clay, IN Vermillion, IN Vigo, IN","0.8740","0.9119"
"8360","Texarkana,AR-Texarkana, TX Miller, AR Bowie, TX","0.8440","0.8903"
"8400","Toledo, OH Fulton, OH Lucas, OH Wood, OH","0.9514","0.9665"
"8440","Topeka, KS Shawnee, KS","0.8896","0.9230"
"8480","2 Trenton, NJ Mercer, NJ","1.1788","1.1192"
"8520","2 Tucson, AZ Pima, AZ","0.9148","0.9408"
"8560","Tulsa, OK Creek, OK Osage, OK Rogers, OK Tulsa, OK Wagoner, OK","0.8756","0.9130"
"8600","Tuscaloosa, AL Tuscaloosa, AL","0.8441","0.8904"
"8640","Tyler, TX Smith, TX","0.9516","0.9666"
"8680","2 Utica-Rome, NY Herkimer, NY Oneida, NY","0.8418","0.8888"
"8720","Vallejo-Fairfield-Napa, CA Napa, CA Solano, CA","1.3802","1.2469"
"8735","Ventura, CA Ventura, CA","1.1099","1.0740"
"8750","Victoria, TX Victoria, TX","0.8456","0.8915"
"8760","Vineland-Millville-Bridgeton, NJ Cumberland, NJ","1.1788","1.1192"
"8780","2 Visalia-Tulare-Porterville, CA Tulare, CA","1.0262","1.0179"
"8800","Waco, TX McLennan, TX","0.8172","0.8709"
"8840","1 Washington, DC-MD-VA-WV District of Columbia, DC Calvert, MD Charles, MD Frederick, MD Montgomery, MD Prince Georges, MD Alexandria City, VA Arlington, VA Clarke, VA Culpeper, VA Fairfax, VA Fairfax City, VA Falls Church City, VA Fauquier, VA Fredericksburg City, VA King George, VA Loudoun, VA Manassas City, VA Manassas Park City, VA Prince William, VA Spotsylvania, VA Stafford, VA Warren, VA Berkeley, WV Jefferson, WV","1.0969","1.0654"
"8920","Waterloo-Cedar Falls, IA Black Hawk, IA","0.8629","0.9040"
"8940","Wausau, WI Marathon, WI","1.0101","1.0069"
"8960","1 West Palm Beach-Boca Raton, FL Palm Beach, FL","1.0348","1.0237"
"9000","2 Wheeling, WV-OH (WV Hospitals) Belmont, OH Marshall, WV Ohio, WV","0.8099","0.8656"
"9000","2 Wheeling, WV-OH (OH Hospitals) Belmont, OH Marshall, WV Ohio, WV","0.8759","0.9133"
"9040","Wichita, KS Butler, KS Harvey, KS Sedgwick, KS","0.9499","0.9654"
"9080","Wichita Falls, TX Archer, TX Wichita, TX","0.8428","0.8895"
"9140","Williamsport, PA Lycoming, PA","0.8476","0.8929"
"9160","Wilmington-Newark, DE-MD New Castle, DE Cecil, MD","1.1172","1.0788"
"9200","Wilmington, NC New Hanover, NC Brunswick, NC","0.9225","0.9463"
"9260","Yakima, WA Yakima, WA","1.0317","1.0216"
"9270","2 Yolo, CA Yolo, CA","1.0262","1.0179"
"9280","York, PA York, PA","0.9152","0.9411"
"9320","Youngstown-Warren, OH Columbiana, OH Mahoning, OH Trumbull, OH","0.9516","0.9666"
"9340","Yuba City, CA Sutter, CA Yuba, CA","1.0381","1.0259"
"9360","2 Yuma, AZ Yuma, AZ 1 Large Urban Area 2 Hospitals geographically located in the area ar e assigned the statewide FY 2005. New Jersey and Rhode Island rural floors are imputed as discussed in section IV.N.6 of the preamble.","0.9148","0.9408","rural","wage","index","for"
