"MSA","Counties","Wage Index","GAF"
"3290","Hickory-Morganton-Lenoir, NC Alexander, NC Burke, NC Caldwell, NC Catawba, NC","0.9510","0.9662"
"3320","Honolulu, HI Honolulu, HI","1.1033","1.0696"
"3350","Houma, LA Lafourche, LA Terrebonne, LA","0.7761","0.8407"
"3360","1 Houston, TX Chambers, TX Fort Bend, TX Harris, TX Liberty, TX Montgomery, TX Waller, TX","1.0122","1.0083"
"3400","Huntington-Ashland, WV-KY-OH Boyd, KY Carter, KY Greenup, KY Lawrence, OH Cabell, WV Wayne, WV","0.9560","0.9697"
"3440","Huntsville, AL Limestone, AL Madison, AL","0.8826","0.9180"
"3480","1 Indianapolis, IN Boone, IN Hamilton, IN Hancock, IN Hendricks, IN Johnson, IN Madison, IN Marion, IN Morgan, IN Shelby, IN","1.0033","1.0023"
"3500","Iowa City, IA Johnson, IA","0.9649","0.9758"
"3520","Jackson, MI Jackson, MI","0.9133","0.9398"
"3560","Jackson, MS Hinds, MS Madison, MS Rankin, MS","0.8396","0.8872"
"3580","Jackson, TN Madison, TN Chester, TN","0.8891","0.9227"
"3600","1 Jacksonville, FL Clay, FL Duval, FL Nassau, FL St. Johns, FL","0.9553","0.9692"
"3605","2 Jacksonville, NC Onslow, NC","0.8506","0.8951"
"3610","2 Jamestown, NY Chautauqua, NY","0.8418","0.8888"
"3620","Janesville-Beloit, WI Rock, WI","0.9597","0.9722"
"3640","2 Jersey City, NJ Hudson, NJ","1.1788","1.1192"
"3660","Johnson City-Kingsport-Bristol, TN-VA (TN Hospitals) Carter, TN Hawkins, TN Sullivan, TN Unicoi, TN Washington, TN Bristol City, VA Scott, VA Washington, VA","0.8206","0.8734"
"3660","2 Johnson City-Kingsport-Bristol, TN-VA (VA Hospitals) Carter, TN Hawkins, TN Sullivan, TN Unicoi, TN Washington, TN Bristol City, VA Scott, VA Washington, VA","0.8489","0.8939"
"3680","2 Johnstown, PA Cambria, PA Somerset, PA","0.8346","0.8835"
"3700","Jonesboro, AR Craighead, AR","0.8229","0.8750"
"3710","Joplin, MO Jasper, MO Newton, MO","0.8725","0.9108"
"3720","Kalamazoo-Battlecreek, MI Calhoun, MI Kalamazoo, MI Van Buren, MI","1.0355","1.0242"
"3740","Kankakee, IL Kankakee, IL","1.0618","1.0419"
